Cell,Start,End,Task,Note
AGV,10615,10655,Fetch,Trans->Cell2-2
AGV,10655,10675,Delivery,Cell2-2->Cell3
Cell3,10675,11050,A1,
AGV,10675,10715,Fetch,Cell3->Cell1
AGV,10715,10735,Delivery,Cell1->Cell2-2
Cell2-2,10735,10990,A3,
AGV,10735,10775,Fetch,Cell2-2->INV
AGV,10775,10795,Delivery,INV->Cell1
Cell1,10795,11210,A4,
AGV,11010,11050,Fetch,Cell1->Cell3
AGV,11050,11070,Delivery,Cell3->Trans
AGV,11070,11110,Fetch,Trans->Cell2-2
AGV,11110,11130,Delivery,Cell2-2->Cell3
Cell3,11130,11540,A3,
AGV,11170,11210,Fetch,Cell3->Cell1
AGV,11210,11230,Delivery,Cell1->Cell2-2
Cell2-2,11230,11570,A4,
AGV,11230,11270,Fetch,Cell2-2->INV
AGV,11270,11290,Delivery,INV->Cell1
Cell1,11290,11615,A1,
AGV,11500,11540,Fetch,Cell1->Cell3
AGV,11540,11560,Delivery,Cell3->Trans
AGV,11560,11600,Fetch,Trans->Cell2-2
AGV,11600,11620,Delivery,Cell2-2->Cell3
Cell3,11620,11930,A4,
AGV,11620,11660,Fetch,Cell3->Cell1
AGV,11660,11680,Delivery,Cell1->Cell2-2
Cell2-2,11680,12080,A1,
AGV,11680,11720,Fetch,Cell2-2->INV
AGV,11720,11740,Delivery,INV->Cell1
Cell1,11740,12065,A1,
AGV,11890,11930,Fetch,Cell1->Cell3
AGV,11930,11950,Delivery,Cell3->Trans
AGV,11950,11990,Fetch,Trans->Cell2-1
AGV,11990,12010,Delivery,Cell2-1->Cell3
Cell3,12010,12385,A1,
AGV,12025,12065,Fetch,Cell3->Cell1
AGV,12065,12085,Delivery,Cell1->Cell2-1
Cell2-1,12085,12485,A1,
AGV,12085,12125,Fetch,Cell2-1->INV
AGV,12125,12145,Delivery,INV->Cell1
Cell1,12145,12460,A3,
AGV,12345,12385,Fetch,Cell1->Cell3
AGV,12385,12405,Delivery,Cell3->Trans
AGV,12405,12445,Fetch,Trans->Cell2-2
AGV,12445,12465,Delivery,Cell2-2->Cell3
Cell3,12465,12840,A1,
AGV,12465,12505,Fetch,Cell3->Cell1
AGV,12505,12525,Delivery,Cell1->Cell2-2
Cell2-2,12525,12780,A3,
AGV,12525,12565,Fetch,Cell2-2->INV
AGV,12565,12585,Delivery,INV->Cell1
Cell1,12585,13000,A4,
AGV,12800,12840,Fetch,Cell1->Cell3
AGV,12840,12860,Delivery,Cell3->Trans
AGV,12860,12900,Fetch,Trans->Cell2-2
AGV,12900,12920,Delivery,Cell2-2->Cell3
Cell3,12920,13330,A3,
AGV,12960,13000,Fetch,Cell3->Cell1
AGV,13000,13020,Delivery,Cell1->Cell2-2
Cell2-2,13020,13360,A4,
AGV,13020,13060,Fetch,Cell2-2->INV
AGV,13060,13080,Delivery,INV->Cell1
Cell1,13080,13395,A3,
AGV,13290,13330,Fetch,Cell1->Cell3
AGV,13330,13350,Delivery,Cell3->Trans
AGV,13350,13390,Fetch,Trans->Cell2-2
AGV,13390,13410,Delivery,Cell2-2->Cell3
Cell3,13410,13720,A4,
AGV,13410,13450,Fetch,Cell3->Cell1
AGV,13450,13470,Delivery,Cell1->Cell2-2
Cell2-2,13470,13725,A3,
AGV,13470,13510,Fetch,Cell2-2->INV
AGV,13510,13530,Delivery,INV->Cell1
Cell1,13530,13855,A1,
AGV,13680,13720,Fetch,Cell1->Cell3
AGV,13720,13740,Delivery,Cell3->Trans
AGV,13740,13780,Fetch,Trans->Cell2-2
AGV,13780,13800,Delivery,Cell2-2->Cell3
Cell3,13800,14210,A3,
AGV,13815,13855,Fetch,Cell3->Cell1
AGV,13855,13875,Delivery,Cell1->Cell2-2
Cell2-2,13875,14275,A1,
AGV,13875,13915,Fetch,Cell2-2->INV
AGV,13915,13935,Delivery,INV->Cell1
Cell1,13935,14350,A4,
AGV,14170,14210,Fetch,Cell1->Cell3
AGV,14210,14230,Delivery,Cell3->Trans
AGV,14230,14270,Fetch,Trans->Cell2-1
AGV,14270,14290,Delivery,Cell2-1->Cell3
Cell3,14290,14665,A1,
AGV,14310,14350,Fetch,Cell3->Cell1
AGV,14350,14370,Delivery,Cell1->Cell2-1
Cell2-1,14370,14710,A4,
AGV,14370,14410,Fetch,Cell2-1->INV
AGV,14410,14430,Delivery,INV->Cell1
Cell1,14430,14755,A1,
AGV,14625,14665,Fetch,Cell1->Cell3
AGV,14665,14685,Delivery,Cell3->Trans
AGV,14685,14725,Fetch,Trans->Cell2-2
AGV,14725,14745,Delivery,Cell2-2->Cell3
Cell3,14745,15120,A1,
AGV,14745,14785,Fetch,Cell3->Cell1
AGV,14785,14805,Delivery,Cell1->Cell2-2
Cell2-2,14805,15205,A1,
AGV,14805,14845,Fetch,Cell2-2->INV
AGV,14845,14865,Delivery,INV->Cell1
Cell1,14865,15180,A3,
AGV,15080,15120,Fetch,Cell1->Cell3
AGV,15120,15140,Delivery,Cell3->Trans
AGV,15140,15180,Fetch,Trans->Cell2-1
AGV,15180,15200,Delivery,Cell2-1->Cell3
Cell3,15200,15510,A4,
AGV,15200,15240,Fetch,Cell3->Cell1
AGV,15240,15260,Delivery,Cell1->Cell2-1
Cell2-1,15260,15515,A3,
AGV,15490,15510,Fetch,Cell2-1->Cell3
AGV,15510,15530,Delivery,Cell3->Trans
AGV,15530,15570,Fetch,Trans->Cell2-2
AGV,15570,15590,Delivery,Cell2-2->Cell3
Cell3,15590,15965,A1,
AGV,15965,15965,Fetch,Cell3->Cell3
AGV,15965,15985,Delivery,Cell3->Trans
AGV,15985,16025,Fetch,Trans->Cell2-1
AGV,16025,16045,Delivery,Cell2-1->Cell3
Cell3,16045,16455,A3,
AGV,16455,16455,Fetch,Cell3->Cell3
AGV,16455,16475,Delivery,Cell3->Trans
